date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:16:15	284/284	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2002%20Apr%202024%2008:16:14%20GMT	https://demo.bootstrapdash.com/connect-plus/jquery/template/assets/vendors/jquery-contextmenu/font/context-menu-icons.eot?2lkho	D:/Code/DACN_QLYDETAI/template/light/light/demo.bootstrapdash.com/connect-plus/jquery/template/assets/vendors/jquery-contextmenu/font/context-menu-icons.18b6a65.delayed	(from https://demo.bootstrapdash.com/connect-plus/jquery/template/assets/vendors/jquery-contextmenu/jquery.contextMenu.min.css)
15:16:15	284/284	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2002%20Apr%202024%2008:16:14%20GMT	https://demo.bootstrapdash.com/connect-plus/jquery/template/assets/vendors/jquery-contextmenu/font/context-menu-icons.woff2?2lkho	D:/Code/DACN_QLYDETAI/template/light/light/demo.bootstrapdash.com/connect-plus/jquery/template/assets/vendors/jquery-contextmenu/font/context-menu-icons6a65.woff2	(from https://demo.bootstrapdash.com/connect-plus/jquery/template/assets/vendors/jquery-contextmenu/jquery.contextMenu.min.css)
15:16:15	284/284	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2002%20Apr%202024%2008:16:14%20GMT	https://demo.bootstrapdash.com/connect-plus/jquery/template/assets/vendors/jquery-contextmenu/font/context-menu-icons.woff?2lkho	D:/Code/DACN_QLYDETAI/template/light/light/demo.bootstrapdash.com/connect-plus/jquery/template/assets/vendors/jquery-contextmenu/font/context-menu-icons6a65.woff	(from https://demo.bootstrapdash.com/connect-plus/jquery/template/assets/vendors/jquery-contextmenu/jquery.contextMenu.min.css)
15:16:16	284/284	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2002%20Apr%202024%2008:16:14%20GMT	https://demo.bootstrapdash.com/connect-plus/jquery/template/assets/vendors/jquery-contextmenu/font/context-menu-icons.ttf?2lkho	D:/Code/DACN_QLYDETAI/template/light/light/demo.bootstrapdash.com/connect-plus/jquery/template/assets/vendors/jquery-contextmenu/font/context-menu-icons6a65.ttf	(from https://demo.bootstrapdash.com/connect-plus/jquery/template/assets/vendors/jquery-contextmenu/jquery.contextMenu.min.css)
15:16:16	4976/4976	---M--	200	added ('OK')	image/png	etag:%2263cc1ac1-1370%22	https://demo.bootstrapdash.com/connect-plus/jquery/template/assets/vendors/owl-carousel-2/owl.video.play.png	D:/Code/DACN_QLYDETAI/template/light/light/demo.bootstrapdash.com/connect-plus/jquery/template/assets/vendors/owl-carousel-2/owl.video.play.png	(from https://demo.bootstrapdash.com/connect-plus/jquery/template/assets/vendors/owl-carousel-2/owl.carousel.min.css)
15:16:16	5667/5667	---M--	200	added ('OK')	image/png	etag:%2263cc1ac1-1623%22	https://demo.bootstrapdash.com/connect-plus/jquery/template/assets/vendors/jstree/css/32px.png	D:/Code/DACN_QLYDETAI/template/light/light/demo.bootstrapdash.com/connect-plus/jquery/template/assets/vendors/jstree/css/32px.png	(from https://demo.bootstrapdash.com/connect-plus/jquery/template/assets/vendors/jstree/css/style.css)
15:16:16	1464/1464	---M--	200	added ('OK')	image/gif	etag:%2263cc1ac1-5b8%22	https://demo.bootstrapdash.com/connect-plus/jquery/template/assets/vendors/jstree/css/throbber.gif	D:/Code/DACN_QLYDETAI/template/light/light/demo.bootstrapdash.com/connect-plus/jquery/template/assets/vendors/jstree/css/throbber.gif	(from https://demo.bootstrapdash.com/connect-plus/jquery/template/assets/vendors/jstree/css/style.css)
15:16:17	2218/2218	---M--	200	added ('OK')	image/png	etag:%2263cc1ac1-8aa%22	https://demo.bootstrapdash.com/connect-plus/jquery/template/assets/vendors/jstree/css/40px.png	D:/Code/DACN_QLYDETAI/template/light/light/demo.bootstrapdash.com/connect-plus/jquery/template/assets/vendors/jstree/css/40px.png	(from https://demo.bootstrapdash.com/connect-plus/jquery/template/assets/vendors/jstree/css/style.css)
15:16:17	1233/1233	---M--	200	added ('OK')	image/png	etag:%2263cc1ac1-4d1%22	https://demo.bootstrapdash.com/connect-plus/jquery/template/assets/vendors/jquery-asColorPicker/images/transparent.png	D:/Code/DACN_QLYDETAI/template/light/light/demo.bootstrapdash.com/connect-plus/jquery/template/assets/vendors/jquery-asColorPicker/images/transparent.png	(from https://demo.bootstrapdash.com/connect-plus/jquery/template/assets/vendors/jquery-asColorPicker/css/asColorPicker.min.css)
15:16:17	14976/14976	---M--	200	added ('OK')	image/png	etag:%2263cc1ac1-3a80%22	https://demo.bootstrapdash.com/connect-plus/jquery/template/assets/vendors/jquery-asColorPicker/images/saturation.png	D:/Code/DACN_QLYDETAI/template/light/light/demo.bootstrapdash.com/connect-plus/jquery/template/assets/vendors/jquery-asColorPicker/images/saturation.png	(from https://demo.bootstrapdash.com/connect-plus/jquery/template/assets/vendors/jquery-asColorPicker/css/asColorPicker.min.css)
